strike_time,amount,price
2017-08-14T09:18:00Z,0.015,28100.12
2017-08-14T09:17:59Z,0.095,28100.12
2017-08-14T09:17:58Z,0.567,28100.0
2017-08-14T09:17:55Z,1.0,28100.0
2017-08-14T09:17:53Z,0.69,28100.0
2017-08-14T09:17:50Z,1.89,28100.0
2017-08-14T09:17:49Z,0.095,28100.0
2017-08-14T09:17:48Z,0.95,28100.0
2017-08-14T09:17:47Z,0.999,28100.0
2017-08-14T09:17:46Z,0.11,28100.0
2017-08-14T09:17:44Z,1.529,28100.0
2017-08-14T09:17:40Z,0.095,28100.0
2017-08-14T09:17:40Z,0.11,28100.0
2017-08-14T09:17:39Z,0.026,28100.0
2017-08-14T09:17:38Z,0.82,28100.0
2017-08-14T09:17:38Z,0.0001,28100.0
2017-08-14T09:17:36Z,0.7,28100.0
2017-08-14T09:17:35Z,0.0073,28100.0
2017-08-14T09:17:34Z,0.7,28100.0
2017-08-14T09:17:32Z,0.0001,28100.0
2017-08-14T09:17:32Z,0.5023,28100.0
2017-08-14T09:17:32Z,0.1622,28098.82
2017-08-14T09:17:32Z,0.0278,28093.73
2017-08-14T09:17:32Z,0.0004,28050.91
2017-08-14T09:17:22Z,0.3956,28090.91
2017-08-14T09:17:20Z,0.0001,28036.74
2017-08-14T09:17:20Z,0.0001,28036.74
2017-08-14T09:17:20Z,0.0001,28036.74
2017-08-14T09:17:20Z,0.0001,28036.74
2017-08-14T09:17:20Z,0.054,28036.74
2017-08-14T09:17:11Z,0.0001,27900.18
2017-08-14T09:16:45Z,0.041,28036.74
2017-08-14T09:16:45Z,0.101,28036.74
2017-08-14T09:16:42Z,0.007,28098.82
2017-08-14T09:16:42Z,0.0001,28050.91
2017-08-14T09:16:41Z,0.0089,28036.74
strike_time,amount,price
2017-08-14T09:24:53Z,0.0357,28200.0
2017-08-14T09:24:45Z,0.0354,28166.02
2017-08-14T09:24:42Z,0.011,28166.01
2017-08-14T09:24:40Z,0.2574,28500.0
2017-08-14T09:24:39Z,0.0039,28500.0
2017-08-14T09:24:39Z,0.2368,28500.0
2017-08-14T09:24:36Z,0.0356,28166.01
2017-08-14T09:24:35Z,0.163,28500.0
2017-08-14T09:24:35Z,0.1,28500.0
2017-08-14T09:24:35Z,0.3742,28500.0
2017-08-14T09:24:35Z,1.0,28500.0
2017-08-14T09:24:35Z,0.05,28498.0
2017-08-14T09:24:35Z,0.0354,28454.98
2017-08-14T09:24:35Z,0.0917,28380.0
2017-08-14T09:24:35Z,0.1494,28330.0
2017-08-14T09:24:35Z,0.0082,28300.0
2017-08-14T09:24:34Z,0.12,28284.73
2017-08-14T09:24:31Z,0.0212,28166.01
2017-08-14T09:24:31Z,0.0144,28211.0
2017-08-14T09:24:24Z,0.0356,28166.02
2017-08-14T09:24:13Z,0.0355,28166.01
2017-08-14T09:24:06Z,0.0356,28166.0
2017-08-14T09:23:59Z,0.3547,28166.0
2017-08-14T09:23:59Z,0.0357,28100.02
2017-08-14T09:23:51Z,0.0357,28100.0
2017-08-14T09:23:49Z,0.0001,28100.0
2017-08-14T09:23:45Z,0.0356,28090.05
2017-08-14T09:23:40Z,0.3801,28211.0
2017-08-14T09:23:37Z,0.0107,28090.04
2017-08-14T09:23:37Z,0.0249,28211.0
2017-08-14T09:23:33Z,0.0001,28211.0
2017-08-14T09:23:30Z,0.0418,28300.0
2017-08-14T09:23:30Z,0.0365,28300.0
2017-08-14T09:23:30Z,0.0106,28300.0
2017-08-14T09:23:29Z,0.0166,28090.02
2017-08-14T09:23:29Z,0.0189,28166.3
2017-08-14T09:23:22Z,0.0249,28211.0
2017-08-14T09:23:21Z,0.0113,28166.3
2017-08-14T09:23:21Z,0.0243,28174.55
2017-08-14T09:23:16Z,0.0356,28166.3
2017-08-14T09:23:15Z,0.04,28166.3
2017-08-14T09:23:12Z,0.0046,28200.0
2017-08-14T09:23:12Z,0.01,28200.0
2017-08-14T09:23:11Z,0.102,28174.55
2017-08-14T09:23:09Z,0.0355,28166.3
2017-08-14T09:23:01Z,0.0087,28166.3
2017-08-14T09:23:01Z,0.027,28174.5
2017-08-14T09:22:59Z,0.075,28166.34
2017-08-14T09:22:52Z,0.0357,28090.0
2017-08-14T09:22:50Z,0.0334,28088.01
strike_time,amount,price
2017-08-14T09:30:04Z,0.038,28239.12
2017-08-14T09:30:03Z,0.0036,28059.13
2017-08-14T09:30:03Z,0.3589,28120.0
2017-08-14T09:30:02Z,0.1097,28166.0
2017-08-14T09:30:02Z,0.03,28215.15
2017-08-14T09:30:02Z,0.002,28220.0
2017-08-14T09:30:02Z,0.6206,28220.0
2017-08-14T09:30:02Z,2.1659,28220.0
2017-08-14T09:30:01Z,0.0004,28220.0
2017-08-14T09:30:01Z,0.2376,28221.0
2017-08-14T09:29:56Z,0.0005,28221.0
2017-08-14T09:29:56Z,0.4245,28230.0
2017-08-14T09:29:54Z,0.0387,28230.0
2017-08-14T09:29:54Z,0.041,28231.0
2017-08-14T09:29:52Z,0.11,28239.12
2017-08-14T09:29:47Z,0.109,28231.0
2017-08-14T09:29:47Z,0.001,28239.0
2017-08-14T09:29:15Z,0.1775,28233.0
2017-08-14T09:28:32Z,0.039,28221.0
2017-08-14T09:28:26Z,0.0001,28220.0
2017-08-14T09:28:18Z,0.2828,28230.0
2017-08-14T09:28:18Z,0.193,28231.0
2017-08-14T09:28:18Z,0.0262,28235.24
2017-08-14T09:28:17Z,0.001,28239.0
2017-08-14T09:28:17Z,0.1116,28494.8
2017-08-14T09:28:17Z,0.0171,28489.89
2017-08-14T09:28:17Z,0.0356,28489.8
2017-08-14T09:26:33Z,0.0356,28220.0
2017-08-14T09:26:25Z,0.0344,28216.01
2017-08-14T09:26:25Z,0.001,28250.0
2017-08-14T09:26:19Z,0.0355,28215.15
2017-08-14T09:26:13Z,0.0345,28215.13
2017-08-14T09:26:13Z,0.001,28220.0
2017-08-14T09:26:06Z,0.0088,28211.5
2017-08-14T09:26:06Z,0.0267,28211.62
2017-08-14T09:26:01Z,0.0001,28211.62
2017-08-14T09:25:59Z,0.0355,28211.62
2017-08-14T09:25:51Z,0.0352,28215.01
2017-08-14T09:25:49Z,0.0477,28211.62
2017-08-14T09:25:49Z,0.1063,28215.0
2017-08-14T09:25:43Z,0.1267,28500.0
2017-08-14T09:25:43Z,0.0355,28500.0
2017-08-14T09:25:41Z,0.009,28500.0
2017-08-14T09:25:39Z,0.975,28500.0
2017-08-14T09:25:38Z,0.03,28500.0
2017-08-14T09:25:38Z,1.565,28500.0
2017-08-14T09:25:38Z,0.0926,28500.0
2017-08-14T09:25:38Z,0.2271,28499.9
2017-08-14T09:25:38Z,0.2391,28499.8
2017-08-14T09:25:36Z,0.0355,28211.5
strike_time,amount,price
2017-08-14T09:35:13Z,0.365,28200.01
2017-08-14T09:35:13Z,0.4958,28200.03
2017-08-14T09:35:13Z,0.047,28200.12
2017-08-14T09:34:59Z,0.0059,28200.0
2017-08-14T09:34:58Z,0.001,28386.91
2017-08-14T09:34:48Z,0.0033,28200.0
2017-08-14T09:34:41Z,0.002,28190.13
2017-08-14T09:34:36Z,0.001,28386.91
2017-08-14T09:34:22Z,0.0361,28190.0
2017-08-14T09:34:14Z,0.0001,28190.0
2017-08-14T09:34:11Z,0.0451,28214.91
2017-08-14T09:34:08Z,0.0001,28190.0
2017-08-14T09:34:01Z,0.0001,28190.0
2017-08-14T09:33:59Z,0.0024,28190.0
2017-08-14T09:33:52Z,0.001,28214.91
2017-08-14T09:33:49Z,0.0014,28190.0
2017-08-14T09:33:46Z,6.0388,28220.0
2017-08-14T09:33:40Z,0.252,28151.0
2017-08-14T09:33:40Z,0.647,28151.0
2017-08-14T09:33:39Z,0.0068,28101.0
2017-08-14T09:33:32Z,0.101,28151.0
2017-08-14T09:33:30Z,0.0182,28220.0
2017-08-14T09:33:25Z,1.243,28220.0
2017-08-14T09:33:22Z,0.899,28151.0
2017-08-14T09:33:22Z,0.0009,28190.0
2017-08-14T09:33:22Z,0.1001,28190.12
2017-08-14T09:33:08Z,0.0001,28190.0
2017-08-14T09:33:01Z,0.3877,28221.0
2017-08-14T09:32:56Z,0.0601,28221.0
2017-08-14T09:32:56Z,0.3877,28217.94
2017-08-14T09:32:56Z,0.1001,28217.93
2017-08-14T09:32:44Z,0.0001,28150.0
2017-08-14T09:32:34Z,0.0009,28220.0
2017-08-14T09:32:09Z,0.0001,28220.0
2017-08-14T09:31:41Z,0.0001,28059.13
2017-08-14T09:31:34Z,0.0108,28221.0
2017-08-14T09:31:34Z,0.0002,28221.0
2017-08-14T09:31:26Z,0.0001,28059.13
2017-08-14T09:31:15Z,0.0008,28221.0
2017-08-14T09:30:52Z,0.0101,28221.0
2017-08-14T09:30:52Z,0.0009,28239.1
2017-08-14T09:30:36Z,0.0001,28239.1
2017-08-14T09:30:36Z,0.0001,28221.0
2017-08-14T09:30:15Z,0.0098,28239.0
2017-08-14T09:30:15Z,0.0002,28239.12
2017-08-14T09:30:04Z,0.038,28239.12
2017-08-14T09:30:03Z,0.0036,28059.13
2017-08-14T09:30:03Z,0.3589,28120.0
2017-08-14T09:30:02Z,0.1097,28166.0
2017-08-14T09:30:02Z,0.03,28215.15
strike_time,amount,price
2017-08-14T09:40:20Z,0.0028,28410.0
2017-08-14T09:40:20Z,0.0001,28420.0
2017-08-14T09:40:07Z,0.0118,28410.0
2017-08-14T09:40:07Z,0.0001,28490.0
2017-08-14T09:39:49Z,0.11,28402.12
2017-08-14T09:39:47Z,0.0035,28402.0
2017-08-14T09:39:40Z,0.003,28402.0
2017-08-14T09:39:28Z,0.0049,28402.0
2017-08-14T09:39:22Z,0.0001,28401.0
2017-08-14T09:39:19Z,0.1383,28490.12
2017-08-14T09:39:12Z,0.0039,28500.0
2017-08-14T09:39:10Z,0.0001,28500.0
2017-08-14T09:39:00Z,0.0001,28600.0
2017-08-14T09:38:55Z,0.109,28483.0
2017-08-14T09:38:47Z,0.19,28400.12
2017-08-14T09:38:47Z,0.11,28400.24
2017-08-14T09:38:44Z,0.1777,28600.0
2017-08-14T09:38:44Z,0.1,28600.0
2017-08-14T09:38:44Z,0.0707,28600.0
2017-08-14T09:38:44Z,0.0352,28598.98
2017-08-14T09:38:44Z,0.12,28563.91
2017-08-14T09:38:44Z,0.001,28460.01
2017-08-14T09:38:44Z,0.323,28500.01
2017-08-14T09:38:42Z,0.0011,28500.01
2017-08-14T09:38:32Z,0.2371,28400.0
2017-08-14T09:38:32Z,0.0855,28400.12
2017-08-14T09:38:32Z,0.0001,28550.0
2017-08-14T09:38:21Z,0.488,28501.0
2017-08-14T09:38:19Z,0.0245,28400.12
2017-08-14T09:38:18Z,0.0004,28500.0
2017-08-14T09:38:18Z,1.435,28500.0
2017-08-14T09:38:12Z,3.0,28500.0
2017-08-14T09:38:09Z,0.0001,28500.0
2017-08-14T09:38:08Z,3.0,28500.0
2017-08-14T09:38:07Z,0.0097,28500.0
2017-08-14T09:38:05Z,0.6202,28500.0
2017-08-14T09:38:05Z,0.2931,28500.0
2017-08-14T09:38:05Z,0.02,28500.0
2017-08-14T09:38:05Z,0.01,28500.0
2017-08-14T09:38:05Z,0.095,28500.0
2017-08-14T09:38:05Z,0.5,28499.0
2017-08-14T09:38:05Z,0.6169,28494.9
2017-08-14T09:38:05Z,0.101,28494.9
2017-08-14T09:38:05Z,0.1858,28494.8
2017-08-14T09:38:05Z,0.101,28486.71
2017-08-14T09:38:04Z,0.1038,28485.99
2017-08-14T09:38:03Z,0.0863,28485.99
2017-08-14T09:38:03Z,0.0068,28430.12
2017-08-14T09:38:03Z,0.0069,28402.0
2017-08-14T09:38:00Z,0.11,28430.12
